date,rate,asset,rate_type,protocol
2022-03-17 00:00:00+00:00,0.01757599488620524,WETH,supply,aave_arbitrum
2022-03-18 00:00:00+00:00,0.019585095955657005,WETH,supply,aave_arbitrum
2022-03-19 00:00:00+00:00,0.019737183165123903,WETH,supply,aave_arbitrum
2022-03-20 00:00:00+00:00,0.019086453090329743,WETH,supply,aave_arbitrum
2022-03-21 00:00:00+00:00,0.020088111680375643,WETH,supply,aave_arbitrum
2022-03-22 00:00:00+00:00,0.01842239980725207,WETH,supply,aave_arbitrum
2022-03-23 00:00:00+00:00,0.017573226533054015,WETH,supply,aave_arbitrum
2022-03-24 00:00:00+00:00,0.017689423024616603,WETH,supply,aave_arbitrum
2022-03-25 00:00:00+00:00,0.019927039066548507,WETH,supply,aave_arbitrum
2022-03-26 00:00:00+00:00,0.018861074264673747,WETH,supply,aave_arbitrum
2022-03-27 00:00:00+00:00,0.018600435419464868,WETH,supply,aave_arbitrum
2022-03-28 00:00:00+00:00,0.017344805284289447,WETH,supply,aave_arbitrum
2022-03-29 00:00:00+00:00,0.01837292633738022,WETH,supply,aave_arbitrum
2022-03-30 00:00:00+00:00,0.01985383660833282,WETH,supply,aave_arbitrum
2022-03-31 00:00:00+00:00,0.018593801044980235,WETH,supply,aave_arbitrum
2022-04-01 00:00:00+00:00,0.016634876945924654,WETH,supply,aave_arbitrum
2022-04-02 00:00:00+00:00,0.020170011588008855,WETH,supply,aave_arbitrum
2022-04-03 00:00:00+00:00,0.01727375741600996,WETH,supply,aave_arbitrum
2022-04-04 00:00:00+00:00,0.019371861229922523,WETH,supply,aave_arbitrum
2022-04-05 00:00:00+00:00,0.016860212088880177,WETH,supply,aave_arbitrum
2022-04-06 00:00:00+00:00,0.018005414557829356,WETH,supply,aave_arbitrum
2022-04-07 00:00:00+00:00,0.021644909711456897,WETH,supply,aave_arbitrum
2022-04-08 00:00:00+00:00,0.013775734194502988,WETH,supply,aave_arbitrum
2022-04-09 00:00:00+00:00,0.02262435304431169,WETH,supply,aave_arbitrum
2022-04-10 00:00:00+00:00,0.01867192880692742,WETH,supply,aave_arbitrum
2022-04-11 00:00:00+00:00,0.021177399520529085,WETH,supply,aave_arbitrum
2022-04-12 00:00:00+00:00,0.019774595182361725,WETH,supply,aave_arbitrum
2022-04-13 00:00:00+00:00,0.019287175940047273,WETH,supply,aave_arbitrum
2022-04-14 00:00:00+00:00,0.018811813922876414,WETH,supply,aave_arbitrum
2022-04-15 00:00:00+00:00,0.01834073842274082,WETH,supply,aave_arbitrum
2022-04-16 00:00:00+00:00,0.018730092411103755,WETH,supply,aave_arbitrum
2022-04-17 00:00:00+00:00,0.018131012669300946,WETH,supply,aave_arbitrum
2022-04-18 00:00:00+00:00,0.0192590283182487,WETH,supply,aave_arbitrum
2022-04-19 00:00:00+00:00,0.018269380094777483,WETH,supply,aave_arbitrum
2022-04-20 00:00:00+00:00,0.017342134813203222,WETH,supply,aave_arbitrum
2022-04-21 00:00:00+00:00,0.01655593900841064,WETH,supply,aave_arbitrum
2022-04-22 00:00:00+00:00,0.018803428978805974,WETH,supply,aave_arbitrum
2022-04-23 00:00:00+00:00,0.017268818786374093,WETH,supply,aave_arbitrum
2022-04-24 00:00:00+00:00,0.016907875487986394,WETH,supply,aave_arbitrum
2022-04-25 00:00:00+00:00,0.019290636650675257,WETH,supply,aave_arbitrum
2022-04-26 00:00:00+00:00,0.01714934478638083,WETH,supply,aave_arbitrum
2022-04-27 00:00:00+00:00,0.017963538702214205,WETH,supply,aave_arbitrum
2022-04-28 00:00:00+00:00,0.01694846956837981,WETH,supply,aave_arbitrum
2022-04-29 00:00:00+00:00,0.019120928057415266,WETH,supply,aave_arbitrum
2022-04-30 00:00:00+00:00,0.01883300682341718,WETH,supply,aave_arbitrum
2022-05-01 00:00:00+00:00,0.01590129513020125,WETH,supply,aave_arbitrum
2022-05-02 00:00:00+00:00,0.017723081028229372,WETH,supply,aave_arbitrum
2022-05-03 00:00:00+00:00,0.01738497119437552,WETH,supply,aave_arbitrum
2022-05-04 00:00:00+00:00,0.01696384159799587,WETH,supply,aave_arbitrum
2022-05-05 00:00:00+00:00,0.018454105142271332,WETH,supply,aave_arbitrum
2022-05-06 00:00:00+00:00,0.01634908574888443,WETH,supply,aave_arbitrum
