date,rate,asset,rate_type,protocol
2022-03-14 00:00:00+00:00,0.000275512456473994,WBTC,supply,aave_arbitrum
2022-03-15 00:00:00+00:00,0.0003315718360568318,WBTC,supply,aave_arbitrum
2022-03-16 00:00:00+00:00,0.00017402450834542812,WBTC,supply,aave_arbitrum
2022-03-17 00:00:00+00:00,0.0002719914995518663,WBTC,supply,aave_arbitrum
2022-03-18 00:00:00+00:00,0.0004981320119076808,WBTC,supply,aave_arbitrum
2022-03-19 00:00:00+00:00,0.00018294566649848065,WBTC,supply,aave_arbitrum
2022-03-20 00:00:00+00:00,0.00018539209002854928,WBTC,supply,aave_arbitrum
2022-03-21 00:00:00+00:00,0.0006530999256384906,WBTC,supply,aave_arbitrum
2022-03-22 00:00:00+00:00,0.00017640599105856608,WBTC,supply,aave_arbitrum
2022-03-23 00:00:00+00:00,0.00014241945809278394,WBTC,supply,aave_arbitrum
2022-03-24 00:00:00+00:00,0.00035082068615804635,WBTC,supply,aave_arbitrum
2022-03-25 00:00:00+00:00,0.00035033375850827017,WBTC,supply,aave_arbitrum
2022-03-26 00:00:00+00:00,0.00037135329550174796,WBTC,supply,aave_arbitrum
2022-03-27 00:00:00+00:00,0.00024029220131339892,WBTC,supply,aave_arbitrum
2022-03-28 00:00:00+00:00,0.00021882827177016845,WBTC,supply,aave_arbitrum
2022-03-29 00:00:00+00:00,0.0004391157076787446,WBTC,supply,aave_arbitrum
2022-03-30 00:00:00+00:00,0.0004083519972335109,WBTC,supply,aave_arbitrum
2022-03-31 00:00:00+00:00,0.00019153287291811375,WBTC,supply,aave_arbitrum
2022-04-01 00:00:00+00:00,0.00018826454447176956,WBTC,supply,aave_arbitrum
2022-04-02 00:00:00+00:00,0.00024145318005257805,WBTC,supply,aave_arbitrum
2022-04-03 00:00:00+00:00,0.0003255767664689621,WBTC,supply,aave_arbitrum
2022-04-04 00:00:00+00:00,0.0012824788699839272,WBTC,supply,aave_arbitrum
2022-04-05 00:00:00+00:00,0.0007710030594991332,WBTC,supply,aave_arbitrum
2022-04-06 00:00:00+00:00,0.0003143323654894145,WBTC,supply,aave_arbitrum
2022-04-07 00:00:00+00:00,0.0009798089135998522,WBTC,supply,aave_arbitrum
2022-04-08 00:00:00+00:00,0.001487814685503633,WBTC,supply,aave_arbitrum
2022-04-09 00:00:00+00:00,0.001022178232291574,WBTC,supply,aave_arbitrum
2022-04-10 00:00:00+00:00,0.0014122843765928344,WBTC,supply,aave_arbitrum
2022-04-11 00:00:00+00:00,0.0011408336587265205,WBTC,supply,aave_arbitrum
2022-04-12 00:00:00+00:00,0.0004204805013991857,WBTC,supply,aave_arbitrum
2022-04-13 00:00:00+00:00,0.0002398885651236716,WBTC,supply,aave_arbitrum
2022-04-14 00:00:00+00:00,0.00028341906521680275,WBTC,supply,aave_arbitrum
2022-04-15 00:00:00+00:00,0.00029491351116627,WBTC,supply,aave_arbitrum
2022-04-16 00:00:00+00:00,0.00034293501084938535,WBTC,supply,aave_arbitrum
2022-04-17 00:00:00+00:00,0.0007168828804181326,WBTC,supply,aave_arbitrum
2022-04-18 00:00:00+00:00,0.0007717556226914427,WBTC,supply,aave_arbitrum
2022-04-19 00:00:00+00:00,9.596479429335149e-05,WBTC,supply,aave_arbitrum
2022-04-20 00:00:00+00:00,7.352693789820407e-05,WBTC,supply,aave_arbitrum
2022-04-21 00:00:00+00:00,9.726846432904684e-05,WBTC,supply,aave_arbitrum
2022-04-22 00:00:00+00:00,0.00032712537040619123,WBTC,supply,aave_arbitrum
2022-04-23 00:00:00+00:00,0.000673265902225217,WBTC,supply,aave_arbitrum
2022-04-24 00:00:00+00:00,0.0005705569229000874,WBTC,supply,aave_arbitrum
2022-04-25 00:00:00+00:00,0.0006928916871519358,WBTC,supply,aave_arbitrum
2022-04-26 00:00:00+00:00,0.0005770686432140616,WBTC,supply,aave_arbitrum
2022-04-27 00:00:00+00:00,0.00038223597693728565,WBTC,supply,aave_arbitrum
2022-04-28 00:00:00+00:00,0.00025024131740650235,WBTC,supply,aave_arbitrum
2022-04-29 00:00:00+00:00,0.00023254743678428373,WBTC,supply,aave_arbitrum
2022-04-30 00:00:00+00:00,0.00017167765615818496,WBTC,supply,aave_arbitrum
2022-05-01 00:00:00+00:00,0.00013020458006226664,WBTC,supply,aave_arbitrum
2022-05-02 00:00:00+00:00,0.0001796009022640211,WBTC,supply,aave_arbitrum
2022-05-03 00:00:00+00:00,0.0001759315938388619,WBTC,supply,aave_arbitrum
2022-05-04 00:00:00+00:00,0.00013289379733624258,WBTC,supply,aave_arbitrum
2022-05-05 00:00:00+00:00,0.0003357582981330059,WBTC,supply,aave_arbitrum
2022-05-06 00:00:00+00:00,0.0003288342872129793,WBTC,supply,aave_arbitrum
2022-05-07 00:00:00+00:00,0.0004126280059616271,WBTC,supply,aave_arbitrum
2022-05-08 00:00:00+00:00,0.0006230054685387869,WBTC,supply,aave_arbitrum
2022-05-09 00:00:00+00:00,0.000549613309451403,WBTC,supply,aave_arbitrum
2022-05-10 00:00:00+00:00,0.00071597837874552,WBTC,supply,aave_arbitrum
2022-05-11 00:00:00+00:00,0.00041907879472723674,WBTC,supply,aave_arbitrum
2022-05-12 00:00:00+00:00,0.00037633173493130775,WBTC,supply,aave_arbitrum
2022-05-13 00:00:00+00:00,0.00029038224272452933,WBTC,supply,aave_arbitrum
2022-05-14 00:00:00+00:00,0.00041775088862966594,WBTC,supply,aave_arbitrum
2022-05-15 00:00:00+00:00,0.0004429349026230548,WBTC,supply,aave_arbitrum
2022-05-16 00:00:00+00:00,0.0004662331655274205,WBTC,supply,aave_arbitrum
2022-05-17 00:00:00+00:00,0.0006884294873705609,WBTC,supply,aave_arbitrum
2022-05-18 00:00:00+00:00,0.00023632375879740073,WBTC,supply,aave_arbitrum
2022-05-19 00:00:00+00:00,0.00033938732583979,WBTC,supply,aave_arbitrum
2022-05-20 00:00:00+00:00,0.00038871443317251226,WBTC,supply,aave_arbitrum
2022-05-21 00:00:00+00:00,0.0006303619496963741,WBTC,supply,aave_arbitrum
2022-05-22 00:00:00+00:00,0.00045023427664341384,WBTC,supply,aave_arbitrum
2022-05-23 00:00:00+00:00,0.00040210111462547744,WBTC,supply,aave_arbitrum
2022-05-24 00:00:00+00:00,0.0002441735062689024,WBTC,supply,aave_arbitrum
2022-05-25 00:00:00+00:00,0.00018306549169544938,WBTC,supply,aave_arbitrum
2022-05-26 00:00:00+00:00,0.00010250228514909493,WBTC,supply,aave_arbitrum
2022-05-27 00:00:00+00:00,8.55745477892157e-05,WBTC,supply,aave_arbitrum
2022-05-28 00:00:00+00:00,0.00021066707539632533,WBTC,supply,aave_arbitrum
2022-05-29 00:00:00+00:00,0.00010226878883619687,WBTC,supply,aave_arbitrum
2022-05-30 00:00:00+00:00,8.985223237173663e-05,WBTC,supply,aave_arbitrum
2022-05-31 00:00:00+00:00,0.00017504577662081605,WBTC,supply,aave_arbitrum
2022-06-01 00:00:00+00:00,0.0003796952234245506,WBTC,supply,aave_arbitrum
2022-06-02 00:00:00+00:00,0.0002982044885061097,WBTC,supply,aave_arbitrum
2022-06-03 00:00:00+00:00,0.0004245289974230418,WBTC,supply,aave_arbitrum
2022-06-04 00:00:00+00:00,0.0004912053594203922,WBTC,supply,aave_arbitrum
2022-06-05 00:00:00+00:00,0.0002560986298641935,WBTC,supply,aave_arbitrum
2022-06-06 00:00:00+00:00,0.0002488183035852415,WBTC,supply,aave_arbitrum
2022-06-07 00:00:00+00:00,0.00043216226799452386,WBTC,supply,aave_arbitrum
2022-06-08 00:00:00+00:00,0.00043519289228988157,WBTC,supply,aave_arbitrum
2022-06-09 00:00:00+00:00,8.206349608027437e-05,WBTC,supply,aave_arbitrum
2022-06-10 00:00:00+00:00,0.0002070793293141151,WBTC,supply,aave_arbitrum
2022-06-11 00:00:00+00:00,0.0002764581869308902,WBTC,supply,aave_arbitrum
2022-06-12 00:00:00+00:00,0.00028655606009830723,WBTC,supply,aave_arbitrum
2022-06-13 00:00:00+00:00,0.00026201557827297767,WBTC,supply,aave_arbitrum
2022-06-14 00:00:00+00:00,0.00026797016759574433,WBTC,supply,aave_arbitrum
2022-06-15 00:00:00+00:00,0.00018021025121848727,WBTC,supply,aave_arbitrum
2022-06-16 00:00:00+00:00,0.000269752993800336,WBTC,supply,aave_arbitrum
2022-06-17 00:00:00+00:00,0.0001224093214656969,WBTC,supply,aave_arbitrum
2022-06-18 00:00:00+00:00,0.0002084270907967122,WBTC,supply,aave_arbitrum
2022-06-19 00:00:00+00:00,0.00018903561223669273,WBTC,supply,aave_arbitrum
2022-06-20 00:00:00+00:00,0.00032921403575220077,WBTC,supply,aave_arbitrum
2022-06-21 00:00:00+00:00,0.0002712342163173896,WBTC,supply,aave_arbitrum
2022-06-22 00:00:00+00:00,0.0002524563577540146,WBTC,supply,aave_arbitrum
2022-06-23 00:00:00+00:00,0.0004570995074148394,WBTC,supply,aave_arbitrum
2022-06-24 00:00:00+00:00,0.0005506748325094981,WBTC,supply,aave_arbitrum
2022-06-25 00:00:00+00:00,0.0005004899872905209,WBTC,supply,aave_arbitrum
2022-06-26 00:00:00+00:00,0.00025712614043047095,WBTC,supply,aave_arbitrum
2022-06-27 00:00:00+00:00,0.00026944949587161124,WBTC,supply,aave_arbitrum
2022-06-28 00:00:00+00:00,0.0002303055990689353,WBTC,supply,aave_arbitrum
2022-06-29 00:00:00+00:00,7.927717833739156e-05,WBTC,supply,aave_arbitrum
2022-06-30 00:00:00+00:00,0.0002636225213701091,WBTC,supply,aave_arbitrum
