policy,Q,mean_carry,std_carry,sharpe,cvar_95,max_drawdown,asset
B1_Industry,10000000,14.415759198077804,25.014484833393876,0.5762964655915291,14.8559675004291,1103.6524926878628,BTC
B1_Industry,50000000,13.99260978425847,25.00510709313027,0.5595900762249765,15.414241102265525,1116.2175952957475,BTC
B1_Industry,100000000,13.279629228052633,25.02573899164592,0.5306388447704034,16.668694025279223,1511.5578059517284,BTC
B1_Industry,200000000,11.522935988117746,25.2674943425821,0.4560379368008284,22.83587606375433,4191.574056926984,BTC
B2_Conservative,10000000,9.904793143195617,15.01497290281294,0.6596610734702043,7.581237220193771,561.0149409131845,BTC
B2_Conservative,50000000,9.715622226786731,15.006885100370866,0.6474109824794108,7.810562424898129,566.7813411055831,BTC
B2_Conservative,100000000,9.399417443598455,15.005207781634958,0.6264103490191257,8.238229578234192,576.4781769289693,BTC
B2_Conservative,200000000,8.62072831256128,15.063903842717927,0.5722771734717785,10.371823500091926,1387.8301524806302,BTC
B3_Aggressive,10000000,16.591425431834,31.296383851956417,0.5301387377633672,20.378121502142506,2258.0799450789928,BTC
B3_Aggressive,50000000,16.038005090592495,31.297163940913332,0.5124427606562381,21.19864704408903,2612.9084188109846,BTC
B3_Aggressive,100000000,15.083983973418546,31.35175330615902,0.4811209065763895,23.55351951599969,3243.784520420595,BTC
B3_Aggressive,200000000,12.73000746941218,31.75918429493866,0.4008291696408876,32.25000305631273,6928.543761557463,BTC
ALG_Adaptive,10000000,34.35790814489844,60.35372928794016,0.5692756446081586,5.857114802394381,433.1194309348357,BTC
ALG_Adaptive,50000000,31.64836630726323,59.79775590933935,0.5292567559766957,6.027328726565241,437.66576093784533,BTC
ALG_Adaptive,100000000,28.6891738093006,58.77088925624801,0.4881527942211732,6.286932040682922,445.2736761625274,BTC
ALG_Adaptive,200000000,24.4739959223822,56.321548354079226,0.4345405379930327,7.023140898848389,543.8064796211256,BTC
ALGS_Smoothed,10000000,34.091855505023524,60.47276718199653,0.5637555067129967,5.857114802394381,433.1194309348357,BTC
ALGS_Smoothed,50000000,31.455489113336853,59.88109031407063,0.5252992046129388,6.027328726565241,437.66576093784533,BTC
ALGS_Smoothed,100000000,28.55088660994187,58.82632529944788,0.485342004019582,6.286932040682922,445.2736761625274,BTC
ALGS_Smoothed,200000000,24.34621825047233,56.36200108021188,0.4319615660172157,7.023140898848389,543.8064796211256,BTC
B1_Industry,10000000,11.892731102203143,22.544324661897075,0.5275266072752869,26.59868600643565,6878.891247934764,ETH
B1_Industry,50000000,11.49792113160483,22.5741687774923,0.5093397344963991,27.46648954431519,7086.746108624444,ETH
B1_Industry,100000000,10.824967751102225,22.67822909834319,0.4773286178634233,29.15945945960959,7464.00018363916,ETH
B1_Industry,200000000,9.165681015042304,23.20320872188105,0.3950178238236033,35.33746231520942,9048.079582142149,ETH
B2_Conservative,10000000,9.003316151047558,13.429305532388634,0.6704230631534498,13.667897788883778,1600.255080451214,ETH
B2_Conservative,50000000,8.825046788013077,13.435618379305582,0.6568396436152125,14.01614758629268,1620.5124814589508,ETH
B2_Conservative,100000000,8.526375175522293,13.463430848778758,0.6332988427162831,14.67648497536576,1736.9758740898978,ETH
B2_Conservative,200000000,7.7907540980639265,13.621933935776935,0.571927167962702,16.892664401679298,2972.6931449624244,ETH
B3_Aggressive,10000000,12.397768650266196,28.537572394862806,0.4344366955508094,37.30509121057374,13027.329676123729,ETH
B3_Aggressive,50000000,11.896425409656166,28.59946759093124,0.4159666739190791,38.48323647527752,13246.627327570504,ETH
B3_Aggressive,100000000,10.997821571541168,28.79016861956728,0.3819992066342564,41.04966133402221,14308.570998381096,ETH
B3_Aggressive,200000000,8.775298572453272,29.63722613680981,0.2960904145328985,50.05654803507715,17005.38616822021,ETH
ALG_Adaptive,10000000,30.256564273456988,49.48212976173312,0.6114644704896236,10.674651725188776,991.65747024375,ETH
ALG_Adaptive,50000000,28.065178226512582,48.729512691675644,0.5759380029939617,10.938314388392172,1020.8516160066938,ETH
ALG_Adaptive,100000000,25.443572746274164,47.44577964492533,0.5362663009584572,11.377840657893204,1070.1037836422038,ETH
ALG_Adaptive,200000000,21.449015868198703,44.6871058328553,0.4799822111645624,12.41533938766227,1657.935285745567,ETH
ALGS_Smoothed,10000000,28.73012822780757,50.11661527435262,0.5732655342051867,10.674651725188776,1166.7305681941798,ETH
ALGS_Smoothed,50000000,26.88890491984105,49.186329755475754,0.5466743514613954,10.938314388392172,1176.958397687762,ETH
ALGS_Smoothed,100000000,24.615511881235356,47.75018229807888,0.5155061341457058,11.377840657893204,1194.941855688725,ETH
ALGS_Smoothed,200000000,20.913593753029463,44.86127401937076,0.4661836786890878,12.41533938766227,1657.935285745567,ETH
