policy,Q,mean_carry,std_carry,sharpe,cvar_95,max_drawdown,asset
B1_Industry,10000000,11.876480794674375,22.547364433030136,0.5267347689327385,26.62884756213533,6912.27700891436,ETH
B1_Industry,50000000,11.476459011859856,22.578056980846206,0.5083014460276966,27.509242116898804,7122.875722552795,ETH
B1_Industry,100000000,10.794622100264741,22.684929846404476,0.47584992210040583,29.234090098300467,7505.109857706106,ETH
B1_Industry,200000000,9.11343143186977,23.223712450829424,0.39241923319388533,35.53388305100848,9165.766411476077,ETH
B2_Conservative,10000000,9.000207234251995,13.429761027672571,0.6701688299372343,13.673203019198654,1602.7325101583992,ETH
B2_Conservative,50000000,8.819584570862332,13.436258193063535,0.6564018377836354,14.026626837385363,1623.2573253091832,ETH
B2_Conservative,100000000,8.516970250551235,13.46483311733359,0.6325344084351957,14.696441352045612,1746.593494381901,ETH
B2_Conservative,200000000,7.771638377511422,13.627568202954912,0.5702879825489534,16.959928084512207,3015.0071671936967,ETH
B3_Aggressive,10000000,12.356132739467647,28.54748015119124,0.432827439550809,37.39140819688897,13114.303787265817,ETH
B3_Aggressive,50000000,11.848171360967214,28.611132153017927,0.41411053912864676,38.587308658020916,13352.548222913581,ETH
B3_Aggressive,100000000,10.937705222480416,28.806911438795257,0.3796903130597414,41.208745761707085,14450.31240491604,ETH
B3_Aggressive,200000000,8.685843115011101,29.67589665246762,0.2926901659191771,50.37636863861139,17182.727724937824,ETH
ALG_Adaptive,10000000,30.229388744082467,49.47920576547293,0.6109513739441798,10.677236005774564,993.4889329944272,ETH
ALG_Adaptive,50000000,28.017541671502887,48.71419683153537,0.5751412010012982,10.944772765326235,1023.0684651882038,ETH
ALG_Adaptive,100000000,25.373042384772432,47.41190826257007,0.5351618045883105,11.390760691293437,1074.1608867277682,ETH
ALG_Adaptive,200000000,21.35562755367266,44.61504800862535,0.47866422892885857,12.44813963706605,1678.1685345619335,ETH
ALGS_Smoothed,10000000,28.69193010864444,50.117538669768585,0.5724928013264886,10.677236005774564,1167.7512437369442,ETH
ALGS_Smoothed,50000000,26.81983629058584,49.178287124857135,0.545359300995861,10.944772765326235,1178.053814574494,ETH
ALGS_Smoothed,100000000,24.54858110345378,47.71415070675327,0.514492676487675,11.390760691293437,1238.9298441451974,ETH
ALGS_Smoothed,200000000,20.824114843707687,44.78747309391779,0.4649540017593811,12.44813963706605,1678.1685345619335,ETH
