policy,Q,mean_carry_annual_pct,asset
B1_Industry,1000000.0,14.110858718683609,BTC
B1_Industry,4731512.589614803,13.55558692437419,BTC
B1_Industry,22387211.385683376,11.802953285891038,BTC
B1_Industry,105925372.51772854,6.44478746207977,BTC
B1_Industry,501187233.6272715,-11.241500303106976,BTC
B2_Conservative,1000000.0,9.835838477802287,BTC
B2_Conservative,4731512.589614803,9.66568262981144,BTC
B2_Conservative,22387211.385683376,9.148935830606117,BTC
B2_Conservative,105925372.51772854,7.528752142080572,BTC
B2_Conservative,501187233.6272715,1.8557944015590018,BTC
B3_Aggressive,1000000.0,15.875262225510344,BTC
B3_Aggressive,4731512.589614803,14.96931602523892,BTC
B3_Aggressive,22387211.385683376,11.797616745525282,BTC
B3_Aggressive,105925372.51772854,2.1811570920176133,BTC
B3_Aggressive,501187233.6272715,-28.5225496630981,BTC
ALG_Adaptive,1000000.0,33.62108826315485,BTC
ALG_Adaptive,4731512.589614803,31.622602891047197,BTC
ALG_Adaptive,22387211.385683376,26.73227450303547,BTC
ALG_Adaptive,105925372.51772854,18.816465209918636,BTC
ALG_Adaptive,501187233.6272715,6.268017178374933,BTC
ALGS_Smoothed,1000000.0,32.98684639138885,BTC
ALGS_Smoothed,4731512.589614803,30.902958833261575,BTC
ALGS_Smoothed,22387211.385683376,26.1418528789628,BTC
ALGS_Smoothed,105925372.51772854,17.999669052430107,BTC
ALGS_Smoothed,501187233.6272715,5.639166511061297,BTC
