policy,Q,mean_carry,std_carry,sharpe,cvar_95,max_drawdown
B1_Industry,10000000,11.892731102203143,22.544324661897075,0.5275266072752869,26.59868600643565,6878.891247934764
B1_Industry,50000000,11.49792113160483,22.5741687774923,0.5093397344963991,27.46648954431519,7086.746108624444
B1_Industry,100000000,10.824967751102225,22.67822909834319,0.47732861786342334,29.15945945960959,7464.00018363916
B1_Industry,200000000,9.165681015042304,23.20320872188105,0.3950178238236033,35.33746231520942,9048.079582142149
B2_Conservative,10000000,9.003316151047558,13.429305532388634,0.6704230631534498,13.667897788883778,1600.2550804512139
B2_Conservative,50000000,8.825046788013077,13.435618379305582,0.6568396436152125,14.01614758629268,1620.5124814589508
B2_Conservative,100000000,8.526375175522293,13.463430848778758,0.6332988427162831,14.67648497536576,1736.9758740898978
B2_Conservative,200000000,7.7907540980639265,13.621933935776935,0.571927167962702,16.892664401679298,2972.6931449624244
B3_Aggressive,10000000,12.397768650266197,28.537572394862806,0.43443669555080944,37.30509121057374,13027.329676123729
B3_Aggressive,50000000,11.896425409656166,28.59946759093124,0.4159666739190791,38.48323647527752,13246.627327570503
B3_Aggressive,100000000,10.997821571541168,28.790168619567282,0.38199920663425646,41.049661334022204,14308.570998381096
B3_Aggressive,200000000,8.775298572453272,29.63722613680981,0.2960904145328985,50.05654803507715,17005.38616822021
ALG_Adaptive,10000000,30.256564273456988,49.48212976173312,0.6114644704896236,10.674651725188777,991.6574702437501
ALG_Adaptive,50000000,28.065178226512582,48.729512691675644,0.5759380029939617,10.938314388392172,1020.8516160066938
ALG_Adaptive,100000000,25.443572746274164,47.445779644925324,0.5362663009584572,11.377840657893204,1070.1037836422038
ALG_Adaptive,200000000,21.449015868198703,44.6871058328553,0.4799822111645624,12.41533938766227,1657.935285745567
ALGS_Smoothed,10000000,28.73012822780757,50.11661527435262,0.5732655342051867,10.674651725188777,1166.7305681941798
ALGS_Smoothed,50000000,26.888904919841046,49.186329755475754,0.5466743514613954,10.938314388392172,1176.958397687762
ALGS_Smoothed,100000000,24.615511881235356,47.750182298078876,0.5155061341457058,11.377840657893204,1194.941855688725
ALGS_Smoothed,200000000,20.913593753029463,44.86127401937076,0.46618367868908783,12.41533938766227,1657.935285745567
