policy,Q,mean_carry,std_carry,sharpe,cvar_95,max_drawdown,asset
B1_Industry,10000000,14.407291997542812,25.014710947887068,0.5759527674558143,14.867924462134564,1104.6082799881406,BTC
B1_Industry,50000000,13.97855666784379,25.005468798027355,0.5590199800191924,15.4349196304457,1117.339252154139,BTC
B1_Industry,100000000,13.256164189322208,25.02728855634181,0.5296684121206231,16.80267711981778,1531.2570205487864,BTC
B1_Industry,200000000,11.47628117210245,25.27698235848529,0.45402101442896126,23.00859555761358,4273.368322485287,BTC
B2_Conservative,10000000,9.90306664593644,15.014979769331688,0.6595457868124202,7.5835099039571565,561.1925723314052,BTC
B2_Conservative,50000000,9.711398519815258,15.00684676552692,0.6471311842887517,7.816031442286501,567.0350936887116,BTC
B2_Conservative,100000000,9.391019576715701,15.00540802989966,0.6258423335109067,8.250646861042405,576.8599356193445,BTC
B2_Conservative,200000000,8.602051116816547,15.066354479977617,0.5709444264203537,10.404623016419007,1414.1049379421092,BTC
B3_Aggressive,10000000,16.57024809337979,31.29745868392241,0.5294438842694908,20.410669556077067,2283.1627966415545,BTC
B3_Aggressive,50000000,16.009522154230485,31.298777355774224,0.5115063113248713,21.24537227394748,2642.8988967488986,BTC
B3_Aggressive,100000000,15.042907183599716,31.355670310287522,0.4797507766454691,23.666339736894606,3282.111064533412,BTC
B3_Aggressive,200000000,12.657856278200562,31.775887810330104,0.39834784015336266,32.45819510910442,7115.183338312752,BTC
ALG_Adaptive,10000000,34.338334440552906,60.35177634956276,0.5689697390456624,5.858286601049377,433.20501287613297,BTC
ALG_Adaptive,50000000,31.600279757616452,59.78660127085692,0.5285511985278224,6.0308726320243835,437.81135812745197,BTC
ALG_Adaptive,100000000,28.620372960891316,58.741048836927924,0.48722951883860377,6.294562859515919,445.5197040109779,BTC
ALG_Adaptive,200000000,24.381500287089196,56.25533367415027,0.433407797886597,7.049675054519383,558.1925145023561,BTC
ALGS_Smoothed,10000000,34.07227076472331,60.47079020403742,0.5634500665487984,5.858286601049377,433.20501287613297,BTC
ALGS_Smoothed,50000000,31.411115847343115,59.86826880098177,0.5246705220717525,6.0308726320243835,437.81135812745197,BTC
ALGS_Smoothed,100000000,28.486593294564745,58.79455743288738,0.48451071899098025,6.294562859515919,445.5197040109779,BTC
ALGS_Smoothed,200000000,24.251804506830243,56.296487529016986,0.4307871693474677,7.049675054519383,558.1925145023561,BTC
B1_Industry,10000000,11.876480794674375,22.547364433030136,0.5267347689327385,26.62884756213533,6912.27700891436,ETH
B1_Industry,50000000,11.476459011859856,22.578056980846206,0.5083014460276966,27.509242116898804,7122.875722552795,ETH
B1_Industry,100000000,10.794622100264741,22.684929846404476,0.47584992210040583,29.234090098300467,7505.109857706106,ETH
B1_Industry,200000000,9.11343143186977,23.223712450829424,0.39241923319388533,35.53388305100848,9165.766411476077,ETH
B2_Conservative,10000000,9.000207234251995,13.429761027672571,0.6701688299372343,13.673203019198654,1602.7325101583992,ETH
B2_Conservative,50000000,8.819584570862332,13.436258193063535,0.6564018377836354,14.026626837385363,1623.2573253091832,ETH
B2_Conservative,100000000,8.516970250551235,13.46483311733359,0.6325344084351957,14.696441352045612,1746.593494381901,ETH
B2_Conservative,200000000,7.771638377511422,13.627568202954912,0.5702879825489534,16.959928084512207,3015.0071671936967,ETH
B3_Aggressive,10000000,12.356132739467647,28.54748015119124,0.432827439550809,37.39140819688897,13114.303787265817,ETH
B3_Aggressive,50000000,11.848171360967214,28.611132153017927,0.41411053912864676,38.587308658020916,13352.548222913581,ETH
B3_Aggressive,100000000,10.937705222480416,28.806911438795257,0.3796903130597414,41.208745761707085,14450.31240491604,ETH
B3_Aggressive,200000000,8.685843115011101,29.67589665246762,0.2926901659191771,50.37636863861139,17182.727724937824,ETH
ALG_Adaptive,10000000,30.229388744082467,49.47920576547293,0.6109513739441798,10.677236005774564,993.4889329944272,ETH
ALG_Adaptive,50000000,28.017541671502887,48.71419683153537,0.5751412010012982,10.944772765326235,1023.0684651882038,ETH
ALG_Adaptive,100000000,25.373042384772432,47.41190826257007,0.5351618045883105,11.390760691293437,1074.1608867277682,ETH
ALG_Adaptive,200000000,21.35562755367266,44.61504800862535,0.47866422892885857,12.44813963706605,1678.1685345619335,ETH
ALGS_Smoothed,10000000,28.69193010864444,50.117538669768585,0.5724928013264886,10.677236005774564,1167.7512437369442,ETH
ALGS_Smoothed,50000000,26.81983629058584,49.178287124857135,0.545359300995861,10.944772765326235,1178.053814574494,ETH
ALGS_Smoothed,100000000,24.54858110345378,47.71415070675327,0.514492676487675,11.390760691293437,1238.9298441451974,ETH
ALGS_Smoothed,200000000,20.824114843707687,44.78747309391779,0.4649540017593811,12.44813963706605,1678.1685345619335,ETH
