policy,r_target,Q_max
B1_Industry,2.0,501187233.6272715
B1_Industry,5.0,390352788.78871304
B1_Industry,8.0,252062092.75823674
B1_Industry,10.0,148202070.5798854
B1_Industry,15.0,0.0
B1_Industry,20.0,0.0
B2_Conservative,2.0,501187233.6272715
B2_Conservative,5.0,485771644.79767925
B2_Conservative,8.0,167928971.5139966
B2_Conservative,10.0,0.0
B2_Conservative,15.0,0.0
B2_Conservative,20.0,0.0
B3_Aggressive,2.0,428707226.26924586
B3_Aggressive,5.0,333901285.02859765
B3_Aggressive,8.0,222451931.46053568
B3_Aggressive,10.0,143643650.0326997
B3_Aggressive,15.0,0.0
B3_Aggressive,20.0,0.0
ALG_Adaptive,2.0,501187233.6272715
ALG_Adaptive,5.0,501187233.6272715
ALG_Adaptive,8.0,501187233.6272715
ALG_Adaptive,10.0,501187233.6272715
ALG_Adaptive,15.0,428707226.26924586
ALG_Adaptive,20.0,236794635.4587752
ALGS_Smoothed,2.0,501187233.6272715
ALGS_Smoothed,5.0,501187233.6272715
ALGS_Smoothed,8.0,501187233.6272715
ALGS_Smoothed,10.0,501187233.6272715
ALGS_Smoothed,15.0,415520987.90357417
ALGS_Smoothed,20.0,222451931.46053568
